"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 14-Oct-2021","30 D % CHNG 
 16-Sep-2022"
"NIFTY MIDSMALLCAP 400","11,184.25","11,208.35","11,117.20","11,172.55","11,132.75","-39.80","-0.36",1662618915,"196,982,877,572.63","11,554.15","8,815.80","-4.91","-2.59"
"NIACL","102.20","116.80","102.00","101.25","114.20","12.95","12.79",19182624,"2,164,567,292.16","152.90","78.15","-47.77","-3.66"
"GREENPANEL","373.00","399.90","367.90","367.80","395.80","28.00","7.61",1520092,"589,993,307.96","625.70","330.40","7.02","-12.89"
"EMAMILTD","446.00","479.00","444.60","446.05","474.40","28.35","6.36",935910,"436,873,428.90","555.00","393.40","-15.94","-4.93"
"PRSMJOHNSN","121.05","132.90","120.00","121.05","128.65","7.60","6.28",6699262,"842,231,218.64","160.00","96.65","-1.09","-5.37"
"IRFC","33.90","36.30","33.80","33.55","35.55","2.00","5.96",347649114,"12,195,530,919.12","36.30","19.30","-9.75","-3.18"
"IRB","261.00","280.00","259.95","260.75","274.00","13.25","5.08",12636863,"3,459,973,089.40","302.95","178.90","12.84","5.63"
"ABCAPITAL","137.15","147.55","137.00","137.05","144.00","6.95","5.07",28477714,"4,102,784,255.98","147.55","85.60","2.60","-4.54"
"BBTC","915.05","976.95","915.05","914.15","957.30","43.15","4.72",417467,"401,569,856.64","1,179.00","839.90","-22.23","-7.41"
"GODFRYPHLP","1,755.00","1,819.00","1,750.00","1,742.05","1,819.00","76.95","4.42",147918,"265,395,954.78","1,915.00","933.00","6.06","28.26"
"DELHIVERY","322.25","344.20","306.00","321.05","334.80","13.75","4.28",9587048,"3,053,474,788.00","708.00","306.00","-","-5.56"
"CCL","520.00","544.50","517.30","518.15","537.40","19.25","3.72",838832,"449,697,835.20","544.50","315.20","18.04","-7.73"
"GRAPHITE","375.75","402.50","375.75","377.00","390.90","13.90","3.69",3090487,"1,219,938,838.38","587.00","348.25","-40.94","-7.88"
"RATNAMANI","1,915.15","1,995.00","1,915.15","1,924.45","1,995.00","70.55","3.67",20347,"40,056,121.55","2,140.60","1,237.07","-8.60","5.48"
"BALAMINES","2,940.00","3,079.20","2,925.00","2,928.55","3,029.00","100.45","3.43",111928,"336,906,637.84","3,935.00","2,692.75","-32.26","-15.49"
"FINCABLES","561.00","585.20","559.05","559.40","577.95","18.55","3.32",569413,"328,283,676.89","596.55","343.50","-5.29","-0.01"
"SWANENERGY","231.60","259.50","229.00","230.65","238.00","7.35","3.19",2954463,"743,786,060.25","336.90","113.70","58.90","-10.78"
"BANKINDIA","81.60","85.50","81.15","81.25","83.80","2.55","3.14",22577829,"1,888,183,839.27","85.50","40.40","-21.64","-8.22"
"RAJESHEXPO","713.00","765.00","706.65","713.80","736.00","22.20","3.11",591817,"433,470,443.48","994.70","518.50","5.51","17.85"
"IIFLWAM","1,775.05","1,924.00","1,775.05","1,796.90","1,850.00","53.10","2.96",139181,"261,132,784.01","1,945.00","1,235.80","14.14","3.49"
"HEG","1,035.00","1,099.00","1,033.50","1,030.50","1,058.55","28.05","2.72",1131070,"1,214,893,597.70","1,945.75","890.80","-54.02","-8.13"
"UNIONBANK","79.30","82.70","77.90","79.45","81.60","2.15","2.71",37047392,"2,995,281,643.20","82.70","33.50","-1.90","-4.97"
"IDBI","53.95","55.60","53.10","52.85","54.20","1.35","2.55",52405381,"2,860,285,694.98","55.60","30.50","-31.44","-4.03"
"WELSPUNIND","80.90","84.00","80.60","80.45","82.45","2.00","2.49",3441177,"285,239,161.53","160.00","62.20","-53.67","-7.62"
"SAPPHIRE","1,348.00","1,374.00","1,332.05","1,331.80","1,364.00","32.20","2.42",319776,"431,265,902.40","1,574.00","909.00","-","-2.01"
"CYIENT","810.05","830.00","808.00","807.80","826.95","19.15","2.37",308142,"252,164,924.28","1,084.00","720.00","-34.29","-7.86"
"LUPIN","744.00","759.35","740.00","733.65","750.80","17.15","2.34",3703760,"2,779,190,391.20","972.40","583.00","-27.03","9.25"
"MAHLIFE","375.85","389.60","375.85","375.85","384.60","8.75","2.33",160699,"61,788,765.50","550.75","218.50","49.83","-10.85"
"DEEPAKNTR","2,125.00","2,176.20","2,116.35","2,122.70","2,170.70","48.00","2.26",522688,"1,123,977,821.44","2,690.05","1,681.15","-22.16","7.01"
"MOIL","162.25","167.80","161.65","160.90","164.50","3.60","2.24",726176,"120,007,845.76","197.40","137.30","-10.75","-6.97"
"TRITURBINE","276.90","282.30","276.05","275.50","281.50","6.00","2.18",475785,"132,986,665.35","305.50","147.25","59.33","20.48"
"KIMS","1,489.95","1,519.15","1,465.65","1,485.80","1,518.00","32.20","2.17",85153,"127,835,089.72","1,668.40","1,113.25","24.44","18.44"
"VIJAYA","444.00","465.00","444.00","450.40","460.00","9.60","2.13",92613,"42,415,827.87","601.00","295.00","-24.20","3.77"
"QUESS","427.00","449.00","426.95","427.90","437.00","9.10","2.13",880061,"387,332,447.32","911.00","420.25","-37.33","-4.69"
"TCI","663.95","674.10","662.35","659.15","673.00","13.85","2.10",55316,"36,968,789.12","858.60","527.00","69.09","5.31"
"SHILPAMED","279.05","291.40","278.95","279.05","284.90","5.85","2.10",237219,"67,934,777.22","606.00","272.00","-46.52","-11.18"
"GRINFRA","1,187.70","1,229.25","1,184.45","1,187.70","1,210.00","22.30","1.88",33300,"40,327,965.00","1,978.00","1,078.85","-38.84","-6.21"
"JKLAKSHMI","678.90","707.00","674.10","676.35","689.00","12.65","1.87",1070025,"743,752,977.00","707.00","366.25","-13.45","-10.01"
"POWERINDIA","2,920.00","3,001.00","2,896.20","2,916.10","2,969.00","52.90","1.81",30714,"91,048,581.60","4,042.60","2,380.00","28.67","-2.87"
"NH","751.00","760.00","748.50","746.40","759.50","13.10","1.76",85988,"64,857,308.88","820.00","530.00","40.17","3.31"
"AIAENG","2,654.00","2,708.95","2,653.20","2,654.95","2,700.00","45.05","1.70",92096,"248,928,120.32","2,821.25","1,475.05","37.35","3.41"
"SWSOLAR","284.30","294.00","284.30","284.30","289.10","4.80","1.69",366347,"106,277,264.70","423.45","273.15","-33.72","0.22"
"POLICYBZR","445.00","466.00","440.20","451.80","459.05","7.25","1.60",4906264,"2,246,725,473.52","1,300.00","356.20","-","-17.77"
"JKPAPER","408.20","418.80","408.00","406.70","413.20","6.50","1.60",994603,"411,755,695.97","449.95","192.00","58.35","-2.53"
"GODREJIND","451.40","459.70","451.40","447.85","455.00","7.15","1.60",445900,"202,978,139.00","662.00","401.45","-25.32","-7.41"
"JINDALSTEL","507.45","518.00","507.45","507.20","515.10","7.90","1.56",2267533,"1,167,530,066.37","577.80","304.20","-1.51","0.91"
"CAMPUS","435.00","449.00","433.00","436.25","443.00","6.75","1.55",631356,"280,934,479.32","639.30","297.10","-","6.64"
"DCMSHRIRAM","860.00","865.45","848.00","847.30","860.00","12.70","1.50",155722,"133,383,679.10","1,263.85","832.85","-9.29","0.42"
"VINATIORGA","2,149.20","2,182.80","2,130.00","2,137.95","2,169.80","31.85","1.49",44693,"96,614,645.82","2,377.00","1,674.20","-7.27","-13.23"
"PRESTIGE","456.70","478.00","452.55","456.00","462.50","6.50","1.43",789611,"365,076,645.85","554.90","379.00","-4.52","-5.43"
"PFIZER","4,481.00","4,594.00","4,475.00","4,500.55","4,564.00","63.45","1.41",29522,"134,239,190.98","5,435.00","4,060.00","-21.44","4.35"
"ZYDUSLIFE","400.85","408.50","400.00","399.95","405.35","5.40","1.35",756275,"307,040,087.25","486.85","319.00","-","15.93"
"BSE","580.00","583.75","574.20","570.80","578.50","7.70","1.35",1111544,"643,884,092.88","1,046.67","475.18","-57.85","-11.20"
"AFFLE","1,230.00","1,260.00","1,217.00","1,225.65","1,242.00","16.35","1.33",254690,"316,103,399.70","1,511.00","871.55","-1.60","-8.80"
"NUVOCO","370.45","378.40","369.00","370.25","375.05","4.80","1.30",93942,"35,182,218.42","556.05","260.25","-26.72","-3.59"
"HOMEFIRST","716.65","727.55","707.20","718.00","726.90","8.90","1.24",136398,"98,237,931.54","1,004.55","620.00","27.04","-3.77"
"RBLBANK","149.20","154.45","149.05","150.50","152.35","1.85","1.23",18641788,"2,848,465,206.40","205.40","74.15","-33.71","2.17"
"DBL","233.95","242.20","233.45","233.10","235.90","2.80","1.20",680190,"162,483,787.20","595.00","187.45","-68.32","-5.59"
"MFSL","675.65","699.35","675.65","684.40","692.50","8.10","1.18",1045758,"722,922,047.82","1,080.70","625.20","-27.78","-13.28"
"ALKEM","3,080.65","3,148.80","3,080.65","3,080.65","3,116.10","35.45","1.15",104264,"324,356,962.88","3,786.00","2,828.00","-19.79","-1.83"
"GLENMARK","431.90","444.00","430.50","432.30","437.00","4.70","1.09",1794039,"788,659,544.40","542.70","348.50","-24.86","6.02"
"TRIVENI","300.00","308.90","300.00","299.10","302.35","3.25","1.09",2002776,"609,785,208.72","374.50","197.60","33.23","9.27"
"JYOTHYLAB","196.40","200.45","194.50","196.25","198.35","2.10","1.07",323552,"64,017,998.72","208.45","130.15","21.07","8.17"
"ALOKINDS","15.75","16.25","15.60","15.80","15.95","0.15","0.95",2956533,"47,334,093.33","35.80","14.30","-","-18.07"
"NATIONALUM","74.90","77.10","74.70","74.50","75.20","0.70","0.94",12911601,"981,539,908.02","132.70","66.95","-36.15","-10.84"
"3MINDIA","23,239.05","23,465.75","23,066.30","23,239.05","23,449.00","209.95","0.90",1970,"45,946,211.50","26,943.00","17,273.00","-9.99","-2.19"
"TRENT","1,439.00","1,462.50","1,434.05","1,439.15","1,451.80","12.65","0.88",476040,"691,943,181.60","1,566.00","970.60","19.39","-3.80"
"METROPOLIS","1,460.00","1,483.20","1,459.00","1,463.60","1,476.35","12.75","0.87",153580,"226,522,821.00","3,579.90","1,318.05","-41.02","14.34"
"SHARDACROP","402.00","416.00","402.00","404.00","407.50","3.50","0.87",110002,"44,999,618.16","769.15","300.00","34.54","-10.94"
"VTL","338.10","344.95","338.10","341.25","344.10","2.85","0.84",188505,"64,623,284.10","2,880.00","245.50","-82.83","-1.36"
"KANSAINER","446.35","450.00","442.85","444.40","448.00","3.60","0.81",90935,"40,670,678.75","628.45","358.15","-20.93","0.04"
"HINDZINC","298.30","303.95","297.30","301.10","303.50","2.40","0.80",495661,"149,456,661.33","371.70","242.05","-20.13","-1.56"
"AAVAS","1,939.00","1,965.50","1,924.55","1,923.85","1,939.00","15.15","0.79",54588,"106,285,019.52","3,340.00","1,815.00","-28.43","-5.15"
"IBREALEST","84.40","85.90","83.70","84.00","84.65","0.65","0.77",7209641,"610,656,592.70","183.50","58.00","-55.24","-4.30"
"MAXHEALTH","442.25","450.50","441.10","439.60","443.00","3.40","0.77",1992295,"889,719,101.10","482.80","326.15","19.70","-3.39"
"FORTIS","292.50","295.10","292.00","292.50","294.75","2.25","0.77",993623,"292,154,970.69","325.00","219.75","-0.86","-8.45"
"LINDEINDIA","3,040.00","3,081.00","3,021.00","3,044.60","3,068.00","23.40","0.77",21127,"64,554,604.85","4,190.00","2,291.30","20.13","-6.61"
"THYROCARE","618.40","624.75","616.00","615.35","620.00","4.65","0.76",14867,"9,231,366.31","1,165.00","600.00","-42.06","-7.31"
"AETHER","892.45","907.45","892.45","893.45","900.00","6.55","0.73",22420,"20,211,630.00","1,048.90","701.00","-","-7.18"
"MRF","92,000.00","92,800.00","91,900.05","91,533.80","92,200.00","666.20","0.73",11792,"1,089,709,450.72","96,000.00","63,000.00","-3.40","-4.46"
"SRTRANSFIN","1,252.75","1,281.00","1,251.50","1,264.75","1,273.95","9.20","0.73",1748490,"2,216,071,195.80","1,531.75","1,002.00","-13.82","-7.14"
"SUVENPHAR","456.00","468.90","450.50","458.65","461.90","3.25","0.71",202332,"92,918,947.68","631.75","390.50","-26.77","-14.13"
"RELAXO","932.00","947.00","932.00","933.40","940.00","6.60","0.71",138144,"130,018,369.92","1,373.90","880.50","-28.63","-10.48"
"SUNTECK","396.00","403.75","395.50","396.10","398.90","2.80","0.71",403000,"160,744,610.00","589.90","360.40","-23.48","-14.03"
"AARTIDRUGS","451.00","455.00","448.10","450.85","453.95","3.10","0.69",77270,"34,875,814.50","608.00","378.00","-26.39","1.96"
"CROMPTON","362.50","371.20","360.90","362.45","364.90","2.45","0.68",842273,"308,499,331.71","462.15","312.00","-19.42","-4.26"
"BLUEDART","7,600.00","7,624.90","7,524.00","7,542.65","7,593.00","50.35","0.67",24177,"183,422,437.05","9,640.00","5,425.25","32.93","1.60"
"APTUS","315.00","317.90","313.05","313.55","315.60","2.05","0.65",68632,"21,663,690.80","394.90","220.10","1.72","1.04"
"GMRINFRA","40.35","41.35","39.90","40.35","40.60","0.25","0.62",13669530,"555,666,394.50","49.15","31.75","-19.70","-9.24"
"JKCEMENT","3,034.90","3,066.35","3,016.05","3,014.70","3,033.05","18.35","0.61",118030,"359,786,127.80","3,659.25","2,003.70","-27.53","-11.61"
"SFL","2,673.70","2,712.55","2,655.05","2,668.90","2,685.00","16.10","0.60",4239,"11,344,835.70","4,055.00","2,542.60","5.79","-14.30"
"BIRLACORPN","937.90","955.55","933.55","934.30","939.85","5.55","0.59",75635,"71,270,860.50","1,628.50","823.00","-36.77","-16.76"
"GICRE","145.95","153.45","145.10","146.10","146.95","0.85","0.58",5648990,"846,331,681.80","153.45","105.00","-17.06","-0.32"
"KPRMILL","571.00","579.90","562.00","568.75","572.00","3.25","0.57",267090,"152,657,960.40","769.00","445.60","17.61","-3.42"
"RAMCOCEM","658.10","669.85","656.10","658.05","661.80","3.75","0.57",848714,"562,323,947.84","1,054.80","575.65","-28.88","-7.36"
"OIL","202.20","204.50","202.00","202.75","203.90","1.15","0.57",872184,"177,402,225.60","306.00","167.85","-21.56","-1.34"
"CDSL","1,229.00","1,247.00","1,226.05","1,225.65","1,232.50","6.85","0.56",352320,"435,770,515.20","1,734.40","1,015.00","-","-9.67"
"SAIL","82.55","84.60","82.25","82.10","82.55","0.45","0.55",19526525,"1,627,926,389.25","123.45","63.60","-37.00","-2.98"
"MOTILALOFS","662.90","672.35","660.70","660.35","663.95","3.60","0.55",287940,"191,546,326.20","1,014.80","653.00","-21.65","-6.15"
"INDIACEM","240.20","245.10","240.20","240.95","242.25","1.30","0.54",2465384,"599,704,658.00","298.95","145.45","8.86","-12.29"
"MSUMI","59.75","60.65","59.65","59.75","60.05","0.30","0.50",6848467,"410,702,565.99","71.15","40.00","-","2.13"
"CSBBANK","220.65","224.10","219.15","219.75","220.85","1.10","0.50",160265,"35,457,028.60","281.55","178.00","-22.64","5.51"
"APOLLOTYRE","314.30","318.00","312.95","312.70","314.20","1.50","0.48",7814998,"2,465,553,719.02","318.00","165.25","15.30","-2.25"
"ZENSARTECH","220.50","225.00","219.00","220.60","221.65","1.05","0.48",852334,"189,738,071.74","539.00","208.00","-57.82","-4.77"
"ANGELONE","1,585.30","1,616.70","1,578.50","1,577.45","1,584.80","7.35","0.47",434709,"695,108,385.18","2,022.00","990.50","-","3.72"
"SCI","139.20","140.65","137.60","138.50","139.10","0.60","0.43",1139874,"158,077,726.32","160.20","85.60","-17.46","-2.05"
"AMARAJABAT","642.05","651.75","640.25","644.30","646.85","2.55","0.40",646332,"417,931,197.84","664.60","438.05","-35.56","-3.93"
"KRBL","393.65","401.00","390.85","393.45","395.00","1.55","0.39",376168,"149,011,429.84","417.90","184.50","22.27","11.50"
"UNOMINDA","557.00","558.95","550.50","555.85","558.00","2.15","0.39",114352,"63,604,869.44","1,257.40","494.00","-","0.40"
"WHIRLPOOL","1,527.30","1,532.20","1,511.05","1,519.70","1,525.50","5.80","0.38",70481,"107,336,924.52","2,091.75","1,365.10","-36.37","-9.18"
"PETRONET","211.10","213.00","210.70","211.10","211.90","0.80","0.38",591659,"125,514,540.26","232.00","190.25","-12.82","-4.33"
"CANFINHOME","549.35","554.00","546.30","545.95","548.00","2.05","0.38",770660,"423,901,533.00","685.00","406.65","-28.21","-20.91"
"SAREGAMA","381.90","383.00","376.05","378.40","379.80","1.40","0.37",81733,"30,896,708.66","550.59","346.30","-","-3.36"
"ASTERDM","232.00","235.80","231.10","232.15","233.00","0.85","0.37",347199,"81,008,470.68","275.60","158.10","16.69","-2.04"
"BAJAJELEC","1,136.05","1,142.50","1,120.10","1,136.05","1,140.10","4.05","0.36",51926,"58,731,940.82","1,380.00","858.55","-9.71","2.72"
"LAXMIMACH","13,021.00","13,201.05","13,021.00","13,106.85","13,152.00","45.15","0.34",2608,"34,296,738.72","13,630.00","8,151.00","31.54","-6.54"
"ABBOTINDIA","20,089.25","20,224.90","20,089.25","20,130.75","20,200.00","69.25","0.34",5962,"120,219,496.98","20,900.80","15,514.00","-16.08","3.06"
"BLUESTARCO","1,220.00","1,242.00","1,208.95","1,220.85","1,225.00","4.15","0.34",57278,"70,250,321.44","1,273.50","836.35","30.64","9.85"
"FINEORG","6,131.00","6,157.95","6,105.00","6,124.05","6,142.30","18.25","0.30",20161,"123,582,897.80","7,328.75","3,405.55","106.00","0.81"
"MASTEK","1,679.85","1,681.25","1,652.00","1,662.20","1,667.00","4.80","0.29",34433,"57,409,796.57","3,413.10","1,490.15","-49.39","-11.07"
"METROBRAND","821.75","824.90","808.30","815.75","817.90","2.15","0.26",159481,"130,442,699.52","980.85","426.00","-","19.27"
"SHOPERSTOP","687.00","690.65","678.10","687.35","689.10","1.75","0.25",57815,"39,813,721.60","820.00","301.10","175.40","3.63"
"PERSISTENT","4,028.00","4,053.30","3,978.05","4,027.95","4,037.95","10.00","0.25",256284,"1,032,586,175.88","4,987.50","3,092.05","-13.85","14.79"
"GMMPFAUDLR","1,895.35","1,915.45","1,885.00","1,893.35","1,898.00","4.65","0.25",37119,"70,377,252.81","2,110.00","1,256.67","-60.75","-1.65"
"NBCC","41.85","43.35","40.90","41.10","41.20","0.10","0.24",31089013,"1,312,578,128.86","53.70","26.55","-37.25","-11.11"
"BALRAMCHIN","380.45","385.35","379.40","379.55","380.45","0.90","0.24",2058007,"787,516,958.62","525.90","299.00","-7.42","-2.15"
"ZFCVINDIA","9,453.70","9,550.60","9,248.15","9,487.70","9,510.00","22.30","0.24",4630,"43,418,195.40","10,924.05","6,876.50","-","10.81"
"STLTECH","178.45","181.90","178.45","178.40","178.80","0.40","0.22",821016,"147,667,937.76","317.40","128.60","-41.63","-7.51"
"PRAJIND","389.35","392.70","386.85","387.45","388.20","0.75","0.19",461958,"180,089,706.72","461.60","289.05","-","7.12"
"SHYAMMETL","292.50","297.55","291.70","292.50","293.05","0.55","0.19",177468,"52,195,113.48","385.50","273.10","-19.83","-2.42"
"CEATLTD","1,934.00","1,954.60","1,910.00","1,918.50","1,922.00","3.50","0.18",570612,"1,102,924,522.56","1,954.60","890.00","10.29","-6.37"
"SUNDARMFIN","2,256.05","2,283.50","2,240.00","2,256.00","2,260.00","4.00","0.18",76132,"172,128,361.44","2,530.90","1,555.00","-6.44","2.53"
"NAZARA","605.00","607.45","601.05","603.05","604.10","1.05","0.17",131717,"79,528,090.26","1,343.50","475.05","-78.52","-5.14"
"ZEEL","259.00","262.70","258.40","260.50","260.95","0.45","0.17",5505725,"1,438,700,999.75","378.70","200.50","-17.56","0.96"
"GARFIBRES","3,325.00","3,342.00","3,280.10","3,310.00","3,315.20","5.20","0.16",3424,"11,358,709.12","3,754.85","2,619.80","-9.35","-0.25"
"THERMAX","2,037.70","2,059.90","2,023.35","2,030.05","2,032.95","2.90","0.14",45373,"92,672,537.58","2,679.00","1,551.55","46.50","-20.62"
"PHOENIXLTD","1,440.00","1,451.00","1,437.85","1,447.05","1,449.00","1.95","0.13",109693,"158,532,711.32","1,624.00","885.05","37.94","-0.27"
"UBL","1,685.95","1,718.00","1,672.25","1,678.20","1,680.00","1.80","0.11",415385,"704,459,729.20","1,754.30","1,274.50","-2.37","2.03"
"NOCIL","237.80","242.10","237.80","237.80","238.05","0.25","0.11",439037,"105,461,077.77","294.90","190.70","-17.66","-4.71"
"ALKYLAMINE","2,834.55","2,848.00","2,811.00","2,812.45","2,815.00","2.55","0.09",20862,"58,899,893.22","3,864.75","2,506.20","-27.19","-4.82"
"SONACOMS","451.20","453.95","447.10","450.90","451.30","0.40","0.09",864644,"389,375,132.52","839.90","426.30","-39.08","-10.75"
"CAMS","2,368.00","2,396.45","2,346.00","2,356.45","2,358.50","2.05","0.09",54349,"128,330,489.27","3,100.00","2,037.15","-15.10","2.50"
"CESC","75.00","75.35","74.70","74.90","74.95","0.05","0.07",924135,"69,273,159.60","94.50","68.00","-17.17","-3.24"
"GLAXO","1,328.95","1,330.10","1,321.05","1,329.25","1,330.10","0.85","0.06",21901,"29,043,135.11","1,918.75","1,295.95","-7.21","-3.97"
"SANOFI","5,669.10","5,690.35","5,659.95","5,669.10","5,672.00","2.90","0.05",7646,"43,377,898.88","8,190.00","5,454.00","-30.03","-5.72"
"CHALET","359.85","363.35","348.85","359.85","360.00","0.15","0.04",135128,"48,069,083.44","410.00","211.05","51.49","14.89"
"PCBL","138.50","142.00","137.50","137.60","137.65","0.05","0.04",2342101,"327,847,297.98","153.75","89.00","-","-5.91"
"ZYDUSWELL","1,589.00","1,589.00","1,566.05","1,579.45","1,580.00","0.55","0.03",54021,"85,064,167.65","2,020.15","1,430.00","-26.27","4.15"
"IEX","148.05","150.85","147.05","148.05","148.10","0.05","0.03",8487402,"1,266,744,748.50","303.80","133.85","-82.47","-11.35"
"IDEA","8.10","8.15","8.00","8.05","8.05","-","-",57370817,"462,408,785.02","16.80","7.75","-21.86","-8.70"
"FSL","109.20","110.25","108.65","109.20","109.20","-","-",1534356,"167,751,141.48","191.40","93.00","-51.82","-3.14"
"SUZLON","8.90","9.20","8.70","8.80","8.80","-","-",146846252,"1,312,805,492.88","12.02","5.41","5.67","-17.68"
"TRIDENT","35.15","35.45","35.10","35.15","35.15","-","-",3718095,"130,951,305.90","70.35","31.00","-6.76","-5.91"
"HINDCOPPER","114.50","116.30","113.90","114.50","114.50","-","-",2668670,"307,831,084.50","146.35","81.20","-19.12","-8.66"
"SIS","391.90","391.90","387.65","389.95","389.90","-0.05","-0.01",93077,"36,269,314.59","560.00","386.10","-18.13","-4.31"
"PFC","135.00","135.70","132.10","134.60","134.55","-0.05","-0.04",6895284,"923,761,197.48","139.15","97.10","-31.65","-10.62"
"SUNTV","488.45","491.05","484.15","488.20","488.00","-0.20","-0.04",683519,"333,953,713.02","568.50","402.55","-4.36","4.53"
"SUDARSCHEM","391.30","394.30","389.20","389.40","389.20","-0.20","-0.05",139886,"54,833,913.14","640.00","373.20","-38.93","-10.28"
"NETWORK18","63.50","65.00","63.15","63.75","63.70","-0.05","-0.08",843745,"53,898,430.60","117.50","57.40","-15.68","-3.28"
"DALBHARAT","1,770.15","1,782.55","1,755.00","1,759.70","1,757.90","-1.80","-0.10",245696,"434,872,092.16","2,104.15","1,212.50","-26.84","-10.55"
"IBULHSGFIN","143.55","145.10","141.60","143.10","142.95","-0.15","-0.10",10638911,"1,523,598,444.31","279.00","89.00","-46.91","-0.90"
"EXIDEIND","185.70","187.20","184.15","185.70","185.50","-0.20","-0.11",2820098,"524,848,438.78","188.40","130.25","-16.83","-7.59"
"GPPL","91.10","91.90","90.50","91.10","91.00","-0.10","-0.11",493590,"44,916,690.00","104.00","70.30","-24.70","-2.80"
"PRINCEPIPE","556.25","565.00","555.85","557.80","557.10","-0.70","-0.13",47832,"26,811,749.28","775.00","510.00","-23.70","-4.26"
"AUROPHARMA","467.50","472.80","466.00","467.35","466.75","-0.60","-0.13",1069123,"501,279,701.01","742.00","455.10","-28.51","-2.49"
"JAMNAAUTO","107.00","107.90","106.25","106.50","106.35","-0.15","-0.14",321894,"34,455,533.76","135.50","85.15","9.45","-8.11"
"EDELWEISS","67.00","69.15","66.50","66.90","66.80","-0.10","-0.15",2316078,"156,543,712.02","77.35","49.40","-23.73","-5.52"
"HATSUN","896.00","918.00","896.00","901.50","900.05","-1.45","-0.16",14219,"12,926,208.52","1,394.00","837.60","-30.19","-6.33"
"OFSS","3,100.00","3,130.00","3,085.00","3,093.10","3,088.00","-5.10","-0.16",70957,"220,813,217.01","4,400.00","2,883.25","-38.46","-3.17"
"TATAELXSI","6,796.00","6,829.90","6,774.35","6,796.95","6,785.00","-11.95","-0.18",112717,"765,953,720.29","10,760.00","5,263.40","24.33","-10.85"
"NCC","83.95","84.60","82.75","83.05","82.90","-0.15","-0.18",5631827,"470,426,509.31","84.60","52.20","-14.11","-1.13"
"AVANTIFEED","386.10","389.00","383.05","386.10","385.40","-0.70","-0.18",622567,"239,800,357.06","638.80","364.10","-14.92","-3.48"
"EQUITASBNK","53.60","54.00","53.50","53.60","53.50","-0.10","-0.19",1421357,"76,255,803.05","63.80","37.45","-28.34","-3.43"
"HINDPETRO","239.00","239.70","235.60","238.50","238.00","-0.50","-0.21",3248659,"772,985,922.46","332.20","200.05","-38.96","-11.60"
"M&MFIN","215.00","215.60","213.50","214.60","214.15","-0.45","-0.21",1657280,"354,939,657.60","235.10","128.00","14.17","-6.48"
"POLYMED","978.60","995.45","970.30","977.05","975.00","-2.05","-0.21",42775,"42,101,293.75","1,078.00","651.10","-5.28","0.76"
"MANYAVAR","1,357.95","1,358.00","1,331.50","1,350.85","1,348.00","-2.85","-0.21",52554,"70,639,933.56","1,501.55","790.20","-","2.85"
"RAYMOND","1,336.00","1,354.70","1,320.00","1,330.15","1,327.15","-3.00","-0.23",242364,"323,522,009.04","1,363.00","576.35","145.74","-1.14"
"MAPMYINDIA","1,217.45","1,217.45","1,195.75","1,209.80","1,207.00","-2.80","-0.23",31729,"38,176,332.80","1,917.40","1,128.10","-","-2.07"
"BASF","2,650.00","2,660.00","2,616.00","2,639.95","2,633.00","-6.95","-0.26",15854,"41,724,557.20","3,526.10","2,351.00","-20.39","-4.65"
"HAPPSTMNDS","950.00","953.95","942.50","948.10","945.60","-2.50","-0.26",120651,"114,355,430.82","1,360.00","785.60","-","-2.52"
